Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League,league_name,season,season_start
Rio Ave,27,34.0,526.0,360.0,229.0,244.0,53.0,186.0,475.0,39.2,289.0,278.0,84.0,194.0,343.0,869.0,625.0,8.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Santa Clara,29,34.0,540.0,349.0,286.0,205.0,49.0,229.0,560.0,40.9,331.0,328.0,100.0,228.0,354.0,894.0,805.0,9.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Sporting CP,36,34.0,551.0,393.0,275.0,212.0,64.0,214.0,498.0,43.0,284.0,301.0,80.0,221.0,305.0,856.0,520.0,8.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Tondela,30,34.0,444.0,286.0,226.0,172.0,46.0,150.0,393.0,38.2,243.0,275.0,90.0,185.0,344.0,788.0,747.0,7.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Vitória,32,34.0,541.0,365.0,235.0,247.0,59.0,220.0,500.0,44.0,280.0,300.0,71.0,229.0,347.0,888.0,524.0,12.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Vitória Setúbal,31,34.0,502.0,324.0,264.0,193.0,45.0,211.0,514.0,41.1,303.0,334.0,123.0,211.0,388.0,890.0,811.0,6.0,Primeira Liga 2019-2020,primeira liga,2019-2020,2019
Barnsley,32,46.0,859.0,538.0,439.0,322.0,98.0,335.0,852.0,39.3,517.0,554.0,128.0,426.0,511.0,1370.0,966.0,14.0,Championship 2019-2020,championship,2019-2020,2019
Birmingham City,32,46.0,800.0,489.0,382.0,324.0,94.0,282.0,635.0,44.4,353.0,459.0,144.0,315.0,487.0,1287.0,1060.0,12.0,Championship 2019-2020,championship,2019-2020,2019
Blackburn,27,46.0,655.0,393.0,312.0,259.0,84.0,242.0,608.0,39.8,366.0,440.0,152.0,288.0,451.0,1106.0,853.0,9.0,Championship 2019-2020,championship,2019-2020,2019
Brentford,29,46.0,672.0,426.0,354.0,256.0,62.0,269.0,616.0,43.7,347.0,384.0,114.0,270.0,413.0,1085.0,877.0,18.0,Championship 2019-2020,championship,2019-2020,2019
Bristol City,32,46.0,737.0,428.0,346.0,327.0,64.0,264.0,636.0,41.5,372.0,487.0,212.0,275.0,612.0,1349.0,1119.0,19.0,Championship 2019-2020,championship,2019-2020,2019
Cardiff City,29,46.0,659.0,425.0,332.0,253.0,74.0,237.0,606.0,39.1,369.0,471.0,205.0,266.0,429.0,1088.0,1055.0,11.0,Championship 2019-2020,championship,2019-2020,2019
Charlton Ath,33,46.0,631.0,364.0,318.0,255.0,58.0,246.0,599.0,41.1,353.0,470.0,193.0,277.0,498.0,1129.0,1056.0,10.0,Championship 2019-2020,championship,2019-2020,2019
Derby County,31,46.0,788.0,473.0,403.0,307.0,78.0,285.0,705.0,40.4,420.0,435.0,175.0,260.0,483.0,1271.0,1009.0,21.0,Championship 2019-2020,championship,2019-2020,2019
Fulham,28,46.0,714.0,426.0,358.0,262.0,94.0,295.0,679.0,43.4,384.0,450.0,149.0,301.0,372.0,1086.0,851.0,15.0,Championship 2019-2020,championship,2019-2020,2019
Huddersfield,39,46.0,732.0,472.0,308.0,343.0,81.0,274.0,657.0,41.7,383.0,441.0,155.0,286.0,456.0,1188.0,903.0,17.0,Championship 2019-2020,championship,2019-2020,2019
Hull City,33,46.0,769.0,462.0,393.0,281.0,95.0,265.0,735.0,36.1,470.0,406.0,145.0,261.0,507.0,1276.0,1117.0,16.0,Championship 2019-2020,championship,2019-2020,2019
Leeds United,28,46.0,793.0,474.0,388.0,304.0,101.0,292.0,766.0,38.1,474.0,416.0,107.0,309.0,508.0,1301.0,702.0,11.0,Championship 2019-2020,championship,2019-2020,2019
Luton Town,28,46.0,634.0,381.0,324.0,233.0,77.0,250.0,609.0,41.1,359.0,459.0,209.0,250.0,470.0,1104.0,1164.0,20.0,Championship 2019-2020,championship,2019-2020,2019
Middlesbrough,30,46.0,743.0,462.0,377.0,300.0,66.0,300.0,706.0,42.5,406.0,392.0,154.0,238.0,439.0,1182.0,1126.0,13.0,Championship 2019-2020,championship,2019-2020,2019
Millwall,26,46.0,678.0,430.0,333.0,261.0,84.0,270.0,682.0,39.6,412.0,421.0,149.0,272.0,431.0,1109.0,999.0,8.0,Championship 2019-2020,championship,2019-2020,2019
Nott'ham Forest,30,46.0,768.0,490.0,402.0,275.0,91.0,304.0,735.0,41.4,431.0,482.0,185.0,297.0,444.0,1212.0,1226.0,10.0,Championship 2019-2020,championship,2019-2020,2019
Preston,26,46.0,693.0,418.0,326.0,293.0,74.0,265.0,665.0,39.8,400.0,446.0,136.0,310.0,447.0,1140.0,984.0,9.0,Championship 2019-2020,championship,2019-2020,2019
QPR,29,46.0,662.0,406.0,353.0,253.0,56.0,267.0,597.0,44.7,330.0,429.0,149.0,280.0,452.0,1114.0,926.0,16.0,Championship 2019-2020,championship,2019-2020,2019
Reading,31,46.0,695.0,446.0,359.0,272.0,64.0,242.0,593.0,40.8,351.0,462.0,198.0,264.0,393.0,1088.0,1070.0,10.0,Championship 2019-2020,championship,2019-2020,2019
Sheffield Weds,29,46.0,784.0,518.0,394.0,303.0,87.0,266.0,628.0,42.4,362.0,392.0,106.0,286.0,457.0,1241.0,874.0,15.0,Championship 2019-2020,championship,2019-2020,2019
Stoke City,35,46.0,769.0,491.0,355.0,341.0,73.0,277.0,625.0,44.3,348.0,381.0,111.0,270.0,521.0,1290.0,912.0,12.0,Championship 2019-2020,championship,2019-2020,2019
Swansea City,29,46.0,710.0,416.0,312.0,315.0,83.0,262.0,633.0,41.4,371.0,449.0,178.0,271.0,476.0,1186.0,1048.0,13.0,Championship 2019-2020,championship,2019-2020,2019
West Brom,25,46.0,658.0,454.0,342.0,251.0,65.0,250.0,622.0,40.2,372.0,431.0,128.0,303.0,373.0,1031.0,828.0,14.0,Championship 2019-2020,championship,2019-2020,2019
Wigan Athletic,30,46.0,749.0,490.0,379.0,296.0,74.0,294.0,712.0,41.3,418.0,481.0,172.0,309.0,468.0,1217.0,1056.0,12.0,Championship 2019-2020,championship,2019-2020,2019
Augsburg,30,34.0,591.0,376.0,280.0,262.0,49.0,238.0,515.0,46.2,277.0,404.0,130.0,274.0,467.0,1058.0,754.0,15.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Bayern Munich,24,34.0,465.0,294.0,172.0,210.0,83.0,165.0,410.0,40.2,245.0,313.0,61.0,252.0,336.0,801.0,368.0,10.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Dortmund,23,34.0,497.0,319.0,242.0,194.0,61.0,181.0,402.0,45.0,221.0,334.0,79.0,255.0,384.0,881.0,659.0,17.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Düsseldorf,24,34.0,625.0,384.0,345.0,233.0,47.0,250.0,621.0,40.3,371.0,374.0,107.0,267.0,419.0,1044.0,760.0,14.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Eint Frankfurt,30,34.0,598.0,371.0,291.0,246.0,61.0,233.0,539.0,43.2,306.0,465.0,102.0,363.0,360.0,958.0,708.0,4.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Freiburg,28,34.0,570.0,357.0,301.0,211.0,58.0,213.0,503.0,42.3,290.0,401.0,121.0,280.0,374.0,944.0,882.0,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Gladbach,22,34.0,498.0,292.0,258.0,192.0,48.0,198.0,466.0,42.5,268.0,382.0,102.0,280.0,310.0,808.0,648.0,18.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hannover 96,32,34.0,583.0,342.0,305.0,228.0,50.0,262.0,628.0,41.7,366.0,434.0,124.0,310.0,459.0,1042.0,797.0,10.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hertha BSC,26,34.0,538.0,352.0,251.0,235.0,52.0,178.0,451.0,39.5,273.0,423.0,117.0,306.0,381.0,919.0,823.0,7.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Hoffenheim,29,34.0,571.0,363.0,260.0,237.0,74.0,206.0,528.0,39.0,322.0,419.0,104.0,315.0,399.0,970.0,638.0,13.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Leverkusen,21,34.0,583.0,368.0,298.0,217.0,68.0,230.0,543.0,42.4,313.0,416.0,96.0,320.0,358.0,941.0,687.0,7.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Mainz 05,28,34.0,528.0,309.0,256.0,219.0,53.0,220.0,467.0,47.1,247.0,455.0,123.0,332.0,395.0,923.0,728.0,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Nürnberg,27,34.0,551.0,350.0,335.0,175.0,41.0,253.0,560.0,45.2,307.0,382.0,119.0,263.0,354.0,905.0,840.0,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
RB Leipzig,23,34.0,657.0,398.0,300.0,279.0,78.0,282.0,580.0,48.6,298.0,455.0,70.0,385.0,416.0,1073.0,717.0,1.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Schalke 04,32,34.0,631.0,381.0,279.0,286.0,66.0,251.0,594.0,42.3,343.0,464.0,119.0,345.0,419.0,1050.0,657.0,16.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Stuttgart,26,34.0,576.0,362.0,299.0,217.0,60.0,204.0,476.0,42.9,272.0,422.0,116.0,306.0,399.0,975.0,898.0,12.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Werder Bremen,24,34.0,549.0,344.0,256.0,230.0,63.0,216.0,553.0,39.1,337.0,426.0,109.0,317.0,407.0,956.0,817.0,10.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Wolfsburg,25,34.0,542.0,343.0,272.0,209.0,61.0,219.0,505.0,43.4,286.0,399.0,95.0,304.0,426.0,968.0,791.0,18.0,Bundesliga 2018-2019,bundesliga,2018-2019,2018
Arsenal,28,38.0,609.0,366.0,294.0,236.0,79.0,228.0,535.0,42.6,307.0,424.0,118.0,306.0,412.0,1021.0,798.0,28.0,Premier League 2018-2019,premier league,2018-2019,2018
Bournemouth,28,38.0,525.0,299.0,285.0,185.0,55.0,216.0,494.0,43.7,278.0,405.0,152.0,253.0,371.0,896.0,1098.0,21.0,Premier League 2018-2019,premier league,2018-2019,2018
Brighton,21,38.0,679.0,391.0,363.0,238.0,78.0,264.0,582.0,45.4,318.0,415.0,170.0,245.0,463.0,1142.0,1001.0,17.0,Premier League 2018-2019,premier league,2018-2019,2018
Burnley,23,38.0,584.0,311.0,280.0,246.0,58.0,237.0,539.0,44.0,302.0,516.0,222.0,294.0,367.0,951.0,1156.0,19.0,Premier League 2018-2019,premier league,2018-2019,2018
Cardiff City,25,38.0,655.0,375.0,357.0,234.0,64.0,241.0,607.0,39.7,366.0,490.0,147.0,343.0,529.0,1184.0,1034.0,18.0,Premier League 2018-2019,premier league,2018-2019,2018
Chelsea,24,38.0,618.0,365.0,280.0,245.0,93.0,241.0,541.0,44.5,300.0,357.0,73.0,284.0,353.0,971.0,645.0,16.0,Premier League 2018-2019,premier league,2018-2019,2018
Crystal Palace,26,38.0,733.0,446.0,398.0,270.0,65.0,281.0,590.0,47.6,309.0,441.0,141.0,300.0,445.0,1178.0,1011.0,17.0,Premier League 2018-2019,premier league,2018-2019,2018
Everton,23,38.0,699.0,441.0,326.0,290.0,83.0,220.0,511.0,43.1,291.0,414.0,85.0,329.0,453.0,1152.0,877.0,21.0,Premier League 2018-2019,premier league,2018-2019,2018
Fulham,28,38.0,596.0,362.0,310.0,231.0,55.0,224.0,524.0,42.7,300.0,425.0,144.0,281.0,434.0,1030.0,1030.0,28.0,Premier League 2018-2019,premier league,2018-2019,2018
Huddersfield,31,38.0,708.0,425.0,323.0,315.0,70.0,263.0,625.0,42.1,362.0,496.0,130.0,366.0,531.0,1239.0,682.0,15.0,Premier League 2018-2019,premier league,2018-2019,2018
Leicester City,25,38.0,675.0,393.0,344.0,277.0,54.0,237.0,549.0,43.2,312.0,429.0,96.0,333.0,438.0,1113.0,1034.0,24.0,Premier League 2018-2019,premier league,2018-2019,2018
Liverpool,23,38.0,613.0,377.0,257.0,280.0,76.0,251.0,556.0,45.1,305.0,361.0,78.0,283.0,314.0,927.0,670.0,16.0,Premier League 2018-2019,premier league,2018-2019,2018
Manchester City,21,38.0,518.0,327.0,214.0,215.0,89.0,193.0,467.0,41.3,274.0,319.0,63.0,256.0,362.0,880.0,570.0,15.0,Premier League 2018-2019,premier league,2018-2019,2018
Manchester Utd,28,38.0,581.0,347.0,280.0,239.0,62.0,240.0,544.0,44.1,304.0,445.0,128.0,317.0,355.0,936.0,847.0,26.0,Premier League 2018-2019,premier league,2018-2019,2018
Newcastle Utd,24,38.0,711.0,433.0,356.0,291.0,64.0,241.0,565.0,42.7,324.0,472.0,135.0,337.0,506.0,1217.0,1204.0,16.0,Premier League 2018-2019,premier league,2018-2019,2018
Southampton,30,38.0,698.0,428.0,335.0,283.0,80.0,277.0,646.0,42.9,369.0,533.0,153.0,380.0,549.0,1247.0,1128.0,18.0,Premier League 2018-2019,premier league,2018-2019,2018
Tottenham,28,38.0,627.0,373.0,310.0,237.0,80.0,268.0,577.0,46.4,309.0,415.0,112.0,303.0,325.0,952.0,823.0,20.0,Premier League 2018-2019,premier league,2018-2019,2018
Watford,25,38.0,656.0,391.0,350.0,243.0,63.0,257.0,622.0,41.3,365.0,404.0,120.0,284.0,428.0,1084.0,1022.0,18.0,Premier League 2018-2019,premier league,2018-2019,2018
West Ham,26,38.0,723.0,393.0,385.0,279.0,59.0,295.0,697.0,42.3,402.0,488.0,142.0,346.0,457.0,1180.0,926.0,16.0,Premier League 2018-2019,premier league,2018-2019,2018
Wolves,21,38.0,720.0,408.0,385.0,284.0,51.0,283.0,664.0,42.6,381.0,499.0,148.0,351.0,501.0,1221.0,895.0,23.0,Premier League 2018-2019,premier league,2018-2019,2018
Alavés,26,38.0,646.0,389.0,352.0,228.0,66.0,254.0,595.0,42.7,341.0,419.0,117.0,302.0,390.0,1036.0,1066.0,13.0,La Liga 2018-2019,la liga,2018-2019,2018
Athletic Club,27,38.0,643.0,384.0,311.0,245.0,87.0,245.0,646.0,37.9,401.0,414.0,93.0,321.0,453.0,1096.0,815.0,7.0,La Liga 2018-2019,la liga,2018-2019,2018
Atlético Madrid,29,38.0,784.0,487.0,402.0,298.0,84.0,319.0,700.0,45.6,381.0,374.0,94.0,280.0,463.0,1247.0,837.0,12.0,La Liga 2018-2019,la liga,2018-2019,2018
Barcelona,30,38.0,537.0,346.0,218.0,232.0,87.0,226.0,492.0,45.9,266.0,360.0,101.0,259.0,391.0,928.0,565.0,16.0,La Liga 2018-2019,la liga,2018-2019,2018
Betis,25,38.0,615.0,378.0,309.0,227.0,79.0,219.0,544.0,40.3,325.0,382.0,80.0,302.0,361.0,976.0,702.0,21.0,La Liga 2018-2019,la liga,2018-2019,2018
Celta Vigo,28,38.0,634.0,377.0,364.0,213.0,57.0,258.0,562.0,45.9,304.0,380.0,105.0,275.0,382.0,1016.0,889.0,19.0,La Liga 2018-2019,la liga,2018-2019,2018
Eibar,25,38.0,637.0,424.0,238.0,289.0,110.0,240.0,563.0,42.6,323.0,357.0,53.0,304.0,368.0,1005.0,683.0,10.0,La Liga 2018-2019,la liga,2018-2019,2018
Espanyol,25,38.0,655.0,394.0,324.0,244.0,87.0,263.0,684.0,38.5,421.0,402.0,134.0,268.0,408.0,1063.0,950.0,14.0,La Liga 2018-2019,la liga,2018-2019,2018
Getafe,26,38.0,604.0,358.0,246.0,281.0,77.0,255.0,617.0,41.3,362.0,422.0,81.0,341.0,453.0,1057.0,888.0,15.0,La Liga 2018-2019,la liga,2018-2019,2018
Girona,26,38.0,613.0,367.0,309.0,247.0,57.0,264.0,636.0,41.5,372.0,401.0,124.0,277.0,432.0,1045.0,928.0,14.0,La Liga 2018-2019,la liga,2018-2019,2018
Huesca,30,38.0,712.0,452.0,363.0,290.0,59.0,303.0,694.0,43.7,391.0,414.0,107.0,307.0,440.0,1152.0,953.0,12.0,La Liga 2018-2019,la liga,2018-2019,2018
Leganés,29,38.0,609.0,382.0,325.0,221.0,63.0,227.0,581.0,39.1,354.0,329.0,84.0,245.0,432.0,1041.0,907.0,10.0,La Liga 2018-2019,la liga,2018-2019,2018
Levante,26,38.0,572.0,372.0,308.0,196.0,68.0,264.0,722.0,36.6,458.0,455.0,151.0,304.0,422.0,994.0,842.0,12.0,La Liga 2018-2019,la liga,2018-2019,2018
Rayo Vallecano,29,38.0,651.0,422.0,369.0,223.0,59.0,257.0,592.0,43.4,335.0,388.0,77.0,311.0,433.0,1084.0,931.0,16.0,La Liga 2018-2019,la liga,2018-2019,2018
Real Madrid,27,38.0,626.0,395.0,267.0,253.0,106.0,245.0,629.0,39.0,384.0,374.0,78.0,296.0,373.0,999.0,602.0,11.0,La Liga 2018-2019,la liga,2018-2019,2018
Real Sociedad,30,38.0,579.0,344.0,299.0,219.0,61.0,248.0,584.0,42.5,336.0,444.0,109.0,335.0,425.0,1004.0,842.0,19.0,La Liga 2018-2019,la liga,2018-2019,2018
Sevilla,27,38.0,598.0,408.0,288.0,237.0,73.0,203.0,513.0,39.6,310.0,370.0,114.0,256.0,365.0,963.0,817.0,15.0,La Liga 2018-2019,la liga,2018-2019,2018
Valencia,25,38.0,598.0,384.0,299.0,228.0,71.0,238.0,588.0,40.5,350.0,447.0,120.0,327.0,418.0,1016.0,860.0,12.0,La Liga 2018-2019,la liga,2018-2019,2018
Valladolid,28,38.0,714.0,441.0,369.0,265.0,80.0,280.0,678.0,41.3,398.0,413.0,113.0,300.0,387.0,1101.0,874.0,16.0,La Liga 2018-2019,la liga,2018-2019,2018
Villarreal,26,38.0,667.0,413.0,333.0,255.0,79.0,273.0,659.0,41.4,386.0,406.0,142.0,264.0,390.0,1057.0,877.0,12.0,La Liga 2018-2019,la liga,2018-2019,2018
Atalanta,27,38.0,638.0,397.0,278.0,277.0,83.0,269.0,577.0,46.6,308.0,433.0,96.0,337.0,454.0,1092.0,675.0,10.0,Serie A 2018-2019,serie a,2018-2019,2018
Bologna,29,38.0,689.0,430.0,365.0,252.0,72.0,262.0,631.0,41.5,369.0,463.0,142.0,321.0,372.0,1061.0,863.0,17.0,Serie A 2018-2019,serie a,2018-2019,2018
Cagliari,30,38.0,603.0,388.0,259.0,249.0,95.0,211.0,524.0,40.3,313.0,449.0,126.0,323.0,344.0,947.0,837.0,4.0,Serie A 2018-2019,serie a,2018-2019,2018
Chievo,36,38.0,623.0,374.0,320.0,243.0,60.0,252.0,605.0,41.7,353.0,421.0,132.0,289.0,471.0,1094.0,988.0,18.0,Serie A 2018-2019,serie a,2018-2019,2018
Empoli,29,38.0,552.0,328.0,257.0,223.0,72.0,216.0,510.0,42.4,294.0,353.0,133.0,220.0,333.0,885.0,797.0,10.0,Serie A 2018-2019,serie a,2018-2019,2018
Fiorentina,27,38.0,592.0,371.0,272.0,238.0,82.0,199.0,470.0,42.3,271.0,401.0,130.0,271.0,413.0,1005.0,887.0,11.0,Serie A 2018-2019,serie a,2018-2019,2018
Frosinone,33,38.0,571.0,353.0,303.0,204.0,64.0,213.0,530.0,40.2,317.0,416.0,151.0,265.0,384.0,955.0,918.0,12.0,Serie A 2018-2019,serie a,2018-2019,2018
Genoa,31,38.0,670.0,424.0,329.0,249.0,92.0,253.0,541.0,46.8,288.0,377.0,114.0,263.0,424.0,1094.0,858.0,10.0,Serie A 2018-2019,serie a,2018-2019,2018
Inter,23,38.0,614.0,409.0,278.0,244.0,92.0,253.0,596.0,42.4,343.0,388.0,104.0,284.0,311.0,925.0,642.0,14.0,Serie A 2018-2019,serie a,2018-2019,2018
Juventus,31,38.0,571.0,355.0,259.0,234.0,78.0,213.0,452.0,47.1,239.0,383.0,130.0,253.0,396.0,967.0,681.0,16.0,Serie A 2018-2019,serie a,2018-2019,2018
Lazio,30,38.0,658.0,406.0,295.0,284.0,79.0,280.0,599.0,46.7,319.0,415.0,136.0,279.0,432.0,1090.0,798.0,14.0,Serie A 2018-2019,serie a,2018-2019,2018
Milan,23,38.0,641.0,382.0,336.0,233.0,72.0,268.0,559.0,47.9,291.0,408.0,109.0,299.0,373.0,1014.0,845.0,14.0,Serie A 2018-2019,serie a,2018-2019,2018
Napoli,26,38.0,574.0,359.0,233.0,254.0,87.0,223.0,553.0,40.3,330.0,353.0,107.0,246.0,358.0,932.0,645.0,8.0,Serie A 2018-2019,serie a,2018-2019,2018
Parma,31,38.0,580.0,351.0,329.0,197.0,54.0,195.0,500.0,39.0,305.0,445.0,182.0,263.0,399.0,979.0,1147.0,12.0,Serie A 2018-2019,serie a,2018-2019,2018
Roma,26,38.0,535.0,344.0,246.0,212.0,77.0,199.0,479.0,41.5,280.0,389.0,154.0,235.0,419.0,954.0,822.0,16.0,Serie A 2018-2019,serie a,2018-2019,2018
Sampdoria,24,38.0,647.0,425.0,290.0,258.0,99.0,276.0,567.0,48.7,291.0,418.0,122.0,296.0,364.0,1011.0,838.0,9.0,Serie A 2018-2019,serie a,2018-2019,2018
Sassuolo,29,38.0,529.0,328.0,288.0,175.0,66.0,216.0,517.0,41.8,301.0,387.0,110.0,277.0,378.0,907.0,841.0,15.0,Serie A 2018-2019,serie a,2018-2019,2018
SPAL,28,38.0,579.0,374.0,314.0,201.0,64.0,218.0,493.0,44.2,275.0,411.0,136.0,275.0,388.0,967.0,877.0,15.0,Serie A 2018-2019,serie a,2018-2019,2018
Torino,25,38.0,636.0,394.0,272.0,283.0,81.0,226.0,506.0,44.7,280.0,462.0,117.0,345.0,451.0,1087.0,848.0,12.0,Serie A 2018-2019,serie a,2018-2019,2018
Udinese,31,38.0,651.0,387.0,341.0,250.0,60.0,245.0,554.0,44.2,309.0,450.0,161.0,289.0,381.0,1032.0,1065.0,15.0,Serie A 2018-2019,serie a,2018-2019,2018
Amiens,26,38.0,629.0,384.0,313.0,244.0,72.0,256.0,611.0,41.9,355.0,389.0,141.0,248.0,396.0,1025.0,876.0,16.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Angers,24,38.0,673.0,399.0,351.0,254.0,68.0,259.0,623.0,41.6,364.0,396.0,109.0,287.0,420.0,1093.0,889.0,8.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Bordeaux,33,38.0,720.0,447.0,359.0,303.0,58.0,296.0,666.0,44.4,370.0,394.0,114.0,280.0,391.0,1111.0,966.0,20.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Caen,26,38.0,709.0,435.0,373.0,271.0,65.0,291.0,621.0,46.9,330.0,403.0,141.0,262.0,489.0,1198.0,952.0,18.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Dijon,26,38.0,674.0,408.0,339.0,254.0,81.0,261.0,645.0,40.5,384.0,417.0,119.0,298.0,482.0,1156.0,826.0,14.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Guingamp,30,38.0,684.0,431.0,320.0,299.0,65.0,275.0,551.0,49.9,276.0,416.0,112.0,304.0,421.0,1105.0,768.0,17.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Lille,25,38.0,628.0,378.0,295.0,272.0,61.0,263.0,583.0,45.1,320.0,377.0,106.0,271.0,387.0,1015.0,764.0,15.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Lyon,25,38.0,637.0,384.0,285.0,266.0,86.0,231.0,492.0,47.0,261.0,406.0,136.0,270.0,363.0,1000.0,680.0,19.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Marseille,24,38.0,781.0,489.0,349.0,332.0,100.0,318.0,698.0,45.6,380.0,346.0,98.0,248.0,401.0,1182.0,690.0,18.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Monaco,42,38.0,686.0,422.0,322.0,271.0,93.0,301.0,660.0,45.6,359.0,334.0,86.0,248.0,386.0,1072.0,841.0,15.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Montpellier,25,38.0,759.0,431.0,364.0,305.0,90.0,304.0,676.0,45.0,372.0,411.0,105.0,306.0,484.0,1243.0,751.0,11.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Nantes,33,38.0,767.0,478.0,360.0,315.0,92.0,321.0,690.0,46.5,369.0,382.0,106.0,276.0,435.0,1202.0,831.0,6.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Nice,30,38.0,662.0,420.0,331.0,264.0,67.0,287.0,617.0,46.5,330.0,410.0,108.0,302.0,450.0,1112.0,777.0,11.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Nîmes,23,38.0,733.0,442.0,373.0,282.0,78.0,325.0,757.0,42.9,432.0,378.0,119.0,259.0,443.0,1176.0,832.0,8.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Paris S-G,30,38.0,701.0,434.0,286.0,315.0,100.0,282.0,625.0,45.1,343.0,335.0,93.0,242.0,342.0,1043.0,535.0,20.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Reims,27,38.0,760.0,454.0,423.0,257.0,80.0,291.0,647.0,45.0,356.0,364.0,111.0,253.0,486.0,1246.0,886.0,18.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Rennes,28,38.0,652.0,395.0,307.0,271.0,74.0,292.0,650.0,44.9,358.0,405.0,119.0,286.0,389.0,1041.0,779.0,10.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Saint-Étienne,29,38.0,672.0,406.0,307.0,272.0,93.0,278.0,633.0,43.9,355.0,357.0,97.0,260.0,441.0,1113.0,774.0,24.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Strasbourg,26,38.0,649.0,405.0,320.0,256.0,73.0,257.0,570.0,45.1,313.0,373.0,127.0,246.0,428.0,1077.0,751.0,12.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
Toulouse,29,38.0,669.0,418.0,362.0,243.0,64.0,265.0,582.0,45.5,317.0,433.0,126.0,307.0,384.0,1053.0,947.0,17.0,Ligue 1 2018-2019,ligue 1,2018-2019,2018
ADO Den Haag,25,34.0,574.0,341.0,297.0,230.0,47.0,229.0,519.0,44.1,290.0,354.0,129.0,225.0,381.0,955.0,869.0,20.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
Ajax,29,34.0,583.0,339.0,216.0,255.0,112.0,211.0,475.0,44.4,264.0,359.0,83.0,276.0,394.0,977.0,528.0,25.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
AZ Alkmaar,24,34.0,607.0,365.0,251.0,273.0,83.0,226.0,576.0,39.2,350.0,384.0,96.0,288.0,322.0,929.0,619.0,21.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
De Graafschap,26,34.0,640.0,386.0,341.0,245.0,54.0,235.0,568.0,41.4,333.0,381.0,111.0,270.0,361.0,1001.0,823.0,14.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
Emmen,28,34.0,640.0,379.0,321.0,264.0,55.0,239.0,573.0,41.7,334.0,393.0,102.0,291.0,387.0,1027.0,810.0,13.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
Excelsior,24,34.0,602.0,392.0,356.0,191.0,55.0,239.0,558.0,42.8,319.0,419.0,151.0,268.0,365.0,967.0,1046.0,13.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
Feyenoord,28,34.0,623.0,370.0,289.0,272.0,62.0,225.0,481.0,46.8,256.0,351.0,98.0,253.0,384.0,1007.0,681.0,15.0,Eredivisie 2018-2019,eredivisie,2018-2019,2018
