Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League
vs Middlesbrough,35,46.0,829.0,507.0,397.0,333.0,99.0,389.0,718.0,54.2,329.0,604.0,191.0,413.0,492.0,1321.0,901.0,9.0,Championship 2023-2024
vs Millwall,27,46.0,687.0,411.0,310.0,293.0,84.0,314.0,609.0,51.6,295.0,470.0,139.0,331.0,395.0,1082.0,956.0,7.0,Championship 2023-2024
vs Norwich City,31,46.0,679.0,413.0,286.0,280.0,113.0,362.0,687.0,52.7,325.0,516.0,185.0,331.0,403.0,1082.0,952.0,10.0,Championship 2023-2024
vs Plymouth Argyle,31,46.0,710.0,453.0,300.0,286.0,124.0,346.0,663.0,52.2,317.0,597.0,194.0,403.0,407.0,1117.0,732.0,16.0,Championship 2023-2024
vs Preston,28,46.0,656.0,405.0,279.0,292.0,85.0,296.0,598.0,49.5,302.0,527.0,138.0,389.0,373.0,1029.0,911.0,10.0,Championship 2023-2024
vs QPR,30,46.0,716.0,453.0,335.0,283.0,98.0,333.0,694.0,48.0,361.0,472.0,159.0,313.0,359.0,1075.0,987.0,19.0,Championship 2023-2024
vs Rotherham Utd,35,46.0,610.0,389.0,285.0,250.0,75.0,262.0,496.0,52.8,234.0,374.0,82.0,292.0,349.0,959.0,837.0,9.0,Championship 2023-2024
vs Sheffield Weds,33,46.0,771.0,507.0,333.0,323.0,115.0,396.0,762.0,52.0,366.0,475.0,147.0,328.0,363.0,1134.0,979.0,12.0,Championship 2023-2024
vs Southampton,28,46.0,798.0,515.0,390.0,330.0,78.0,425.0,862.0,49.3,437.0,584.0,227.0,357.0,466.0,1264.0,1028.0,25.0,Championship 2023-2024
vs Stoke City,35,46.0,713.0,457.0,353.0,262.0,98.0,318.0,617.0,51.5,299.0,580.0,185.0,395.0,532.0,1245.0,954.0,5.0,Championship 2023-2024
vs Sunderland,32,46.0,878.0,552.0,450.0,327.0,101.0,450.0,932.0,48.3,482.0,598.0,219.0,379.0,456.0,1334.0,891.0,8.0,Championship 2023-2024
vs Swansea City,30,46.0,717.0,457.0,318.0,307.0,92.0,356.0,649.0,54.9,293.0,501.0,143.0,358.0,395.0,1112.0,922.0,19.0,Championship 2023-2024
vs Watford,27,46.0,797.0,502.0,376.0,322.0,99.0,393.0,781.0,50.3,388.0,528.0,175.0,353.0,460.0,1257.0,908.0,10.0,Championship 2023-2024
vs West Brom,28,46.0,778.0,505.0,366.0,326.0,86.0,378.0,718.0,52.6,340.0,479.0,156.0,323.0,413.0,1191.0,983.0,10.0,Championship 2023-2024
vs Aberdeen,25,38.0,,416.0,,,,,,,,,,,270.0,,,,Scottish Premiership 2023-2024
vs Celtic,34,38.0,,389.0,,,,,,,,,,,360.0,,,,Scottish Premiership 2023-2024
vs Dundee,29,38.0,,338.0,,,,,,,,,,,233.0,,,,Scottish Premiership 2023-2024
vs Hearts,30,38.0,,423.0,,,,,,,,,,,320.0,,,,Scottish Premiership 2023-2024
vs Hibernian,37,38.0,,407.0,,,,,,,,,,,267.0,,,,Scottish Premiership 2023-2024
vs Kilmarnock,26,38.0,,416.0,,,,,,,,,,,219.0,,,,Scottish Premiership 2023-2024
vs Livingston,31,38.0,,348.0,,,,,,,,,,,232.0,,,,Scottish Premiership 2023-2024
vs Motherwell,30,38.0,,309.0,,,,,,,,,,,254.0,,,,Scottish Premiership 2023-2024
vs Rangers,32,38.0,,406.0,,,,,,,,,,,349.0,,,,Scottish Premiership 2023-2024
vs Ross County,30,38.0,,370.0,,,,,,,,,,,262.0,,,,Scottish Premiership 2023-2024
vs St Johnstone,31,38.0,,369.0,,,,,,,,,,,255.0,,,,Scottish Premiership 2023-2024
vs St Mirren,25,38.0,,397.0,,,,,,,,,,,271.0,,,,Scottish Premiership 2023-2024
vs Augsburg,34,34.0,500.0,302.0,231.0,200.0,69.0,234.0,436.0,53.7,202.0,387.0,99.0,288.0,262.0,762.0,701.0,7.0,Bundesliga 2022-2023
vs Bayern Munich,28,34.0,716.0,417.0,342.0,301.0,73.0,362.0,828.0,43.7,466.0,442.0,159.0,283.0,414.0,1130.0,711.0,12.0,Bundesliga 2022-2023
vs Bochum,26,34.0,453.0,286.0,213.0,180.0,60.0,195.0,370.0,52.7,175.0,346.0,102.0,244.0,282.0,735.0,739.0,8.0,Bundesliga 2022-2023
vs Dortmund,30,34.0,722.0,439.0,367.0,277.0,78.0,366.0,781.0,46.9,415.0,462.0,124.0,338.0,339.0,1061.0,727.0,11.0,Bundesliga 2022-2023
vs Eint Frankfurt,28,34.0,624.0,360.0,311.0,242.0,71.0,331.0,623.0,53.1,292.0,432.0,101.0,331.0,377.0,1001.0,734.0,9.0,Bundesliga 2022-2023
vs Freiburg,27,34.0,440.0,243.0,217.0,168.0,55.0,200.0,415.0,48.2,215.0,363.0,97.0,266.0,287.0,727.0,679.0,11.0,Bundesliga 2022-2023
