Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
427,Philippe Sandler,nl NED,DF,NEC Nijmegen,27,1997,19,19,"1,406",15.6,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,21,88,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,Eredivisie,2024/25
428,Cisse Sandra,be BEL,"FW,MF",Willem II,20,2003,26,22,"1,873",20.8,4,2,6,4,0,0,1,0,3.0,3.0,1.0,4.0,26,42,93,0.19,0.10,0.29,0.19,0.29,0.15,0.05,0.19,0.15,0.19,Matches,Eredivisie,2024/25
429,Kodai Sano,jp JPN,"MF,FW",NEC Nijmegen,20,2003,25,23,"1,970",21.9,2,2,4,2,0,0,3,1,1.5,1.5,1.6,3.1,20,72,44,0.09,0.09,0.18,0.09,0.18,0.07,0.07,0.14,0.07,0.14,Matches,Eredivisie,2024/25
430,Leo Sauer,sk SVK,"MF,FW",NAC Breda,18,2005,31,29,"2,482",27.6,7,2,9,6,1,1,2,0,5.5,4.7,2.7,7.5,124,65,197,0.25,0.07,0.33,0.22,0.29,0.20,0.10,0.30,0.17,0.27,Matches,Eredivisie,2024/25
431,Yousri Sbai,nl NED,"DF,MF",NEC Nijmegen,19,2004,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024/25
432,Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30,30,"2,700",30.0,0,2,2,0,0,0,0,0,0.0,0.0,1.1,1.1,0,1,0,0.00,0.07,0.07,0.00,0.07,0.00,0.04,0.04,0.00,0.04,Matches,Eredivisie,2024/25
433,Tristan Schenkhuizen,nl NED,"MF,FW",Fortuna Sittard,20,2004,3,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58,Matches,Eredivisie,2024/25
434,Sem Scheperman,nl NED,MF,Heracles Almelo,22,2002,23,17,"1,639",18.2,1,1,2,1,0,0,7,1,1.2,1.2,0.3,1.4,13,59,18,0.05,0.05,0.11,0.05,0.11,0.06,0.01,0.08,0.06,0.08,Matches,Eredivisie,2024/25
435,Lasse Schöne,dk DEN,MF,NEC Nijmegen,38,1986,17,2,298,3.3,0,0,0,0,0,0,1,1,0.1,0.1,0.0,0.1,5,33,8,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,Eredivisie,2024/25
436,Erik Schouten,nl NED,DF,Willem II,32,1991,18,18,"1,577",17.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,2,41,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Eredivisie,2024/25
437,Jerdy Schouten,nl NED,MF,PSV Eindhoven,27,1997,18,15,"1,295",14.4,1,2,3,1,0,0,1,0,0.8,0.8,1.9,2.8,20,104,35,0.07,0.14,0.21,0.07,0.21,0.06,0.13,0.19,0.06,0.19,Matches,Eredivisie,2024/25
438,Lewis Schouten,nl NED,MF,AZ Alkmaar,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024/25
439,Jorg Schreuders,nl NED,"MF,FW",Groningen,19,2004,32,23,"1,940",21.6,5,1,6,5,0,0,2,0,2.4,2.4,2.1,4.4,46,57,139,0.23,0.05,0.28,0.23,0.28,0.11,0.10,0.20,0.11,0.20,Matches,Eredivisie,2024/25
440,Ilias Sebaoui,be BEL,"FW,MF",Heerenveen,22,2001,30,22,"1,929",21.4,3,0,3,3,0,0,0,1,4.8,4.8,2.1,6.9,46,53,183,0.14,0.00,0.14,0.14,0.14,0.22,0.10,0.32,0.22,0.32,Matches,Eredivisie,2024/25
441,Mats Seuntjens,nl NED,"FW,MF",Groningen,32,1992,13,9,664,7.4,2,2,4,1,1,1,0,0,1.6,0.9,1.8,2.7,3,26,26,0.27,0.27,0.54,0.14,0.41,0.22,0.24,0.47,0.12,0.36,Matches,Eredivisie,2024/25
442,Kento Shiogai,jp JPN,FW,NEC Nijmegen,19,2005,25,3,559,6.2,4,1,5,4,0,0,0,0,3.8,3.8,1.2,5.0,12,14,30,0.64,0.16,0.81,0.64,0.81,0.62,0.19,0.80,0.62,0.80,Matches,Eredivisie,2024/25
443,Kaj Sierhuis,nl NED,FW,Fortuna Sittard,26,1998,11,6,531,5.9,1,1,2,1,0,0,1,0,1.8,1.8,1.0,2.8,2,8,25,0.17,0.17,0.34,0.17,0.34,0.30,0.17,0.47,0.30,0.47,Matches,Eredivisie,2024/25
