Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
73,Marco Bizot,nl NED,GK,Brest,33,1991,32,32,"2,880",32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
74,Ludovic Blas,fr FRA,"MF,FW",Rennes,26,1997,29,26,"2,293",25.5,6,8,14,6,0,0,6,0,5.0,5.0,4.6,9.6,83,116,184,0.24,0.31,0.55,0.24,0.55,0.20,0.18,0.38,0.20,0.38,Matches,Ligue 1,2024/25
75,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,23,2000,17,8,733,8.1,3,0,3,3,0,0,5,0,1.8,1.8,0.9,2.7,25,35,60,0.37,0.00,0.37,0.37,0.37,0.22,0.11,0.34,0.22,0.34,Matches,Ligue 1,2024/25
76,Mathéo Bodmer,fr FRA,MF,Le Havre,20,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
77,Jeremie Boga,ci CIV,"MF,FW",Nice,27,1997,21,12,"1,054",11.7,1,2,3,1,0,0,0,0,2.3,2.3,2.8,5.1,64,39,75,0.09,0.17,0.26,0.09,0.26,0.20,0.24,0.44,0.20,0.44,Matches,Ligue 1,2024/25
78,Moïse Bombito,ca CAN,DF,Nice,24,2000,27,25,"2,192",24.4,0,0,0,0,0,0,3,1,0.7,0.7,0.2,1.0,27,97,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,Ligue 1,2024/25
79,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,18,2006,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
80,Ayyoub Bouaddi,fr FRA,MF,Lille,16,2007,24,11,"1,151",12.8,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,11,37,26,0.00,0.08,0.08,0.00,0.08,0.01,0.08,0.08,0.01,0.08,Matches,Ligue 1,2024/25
81,Badredine Bouanani,dz ALG,"MF,FW",Nice,19,2004,26,11,"1,099",12.2,3,3,6,2,1,1,2,0,2.7,1.9,2.4,4.3,47,44,93,0.25,0.25,0.49,0.16,0.41,0.22,0.19,0.42,0.16,0.35,Matches,Ligue 1,2024/25
82,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22,2001,25,20,"1,772",19.7,1,0,1,1,0,0,6,0,0.6,0.6,0.9,1.5,48,133,54,0.05,0.00,0.05,0.05,0.05,0.03,0.05,0.08,0.03,0.08,Matches,Ligue 1,2024/25
83,Hicham Boudaoui,dz ALG,MF,Nice,24,1999,29,27,"2,435",27.1,2,3,5,2,0,0,9,0,2.7,2.7,3.0,5.8,54,124,75,0.07,0.11,0.18,0.07,0.18,0.10,0.11,0.21,0.10,0.21,Matches,Ligue 1,2024/25
84,Justin Bourgault,fr FRA,DF,Brest,18,2005,2,2,122,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,4,12,0.74,0.00,0.74,0.74,0.74,0.05,0.10,0.15,0.05,0.15,Matches,Ligue 1,2024/25
85,Benjamin Bourigeaud,fr FRA,MF,Rennes,30,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17,Matches,Ligue 1,2024/25
86,Bilal Brahimi,dz ALG,MF,Nice,24,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches,Ligue 1,2024/25
87,Lilian Brassier,fr FRA,DF,Marseille,24,1999,12,9,779,8.7,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.3,11,40,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Ligue 1,2024/25
88,Lilian Brassier,fr FRA,DF,Rennes,24,1999,14,14,"1,234",13.7,1,1,2,1,0,0,1,0,1.5,1.5,0.3,1.8,21,75,11,0.07,0.07,0.15,0.07,0.15,0.11,0.02,0.13,0.11,0.13,Matches,Ligue 1,2024/25
89,Anthony Briançon,fr FRA,DF,Saint-Étienne,29,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
90,Aurélio Buta,pt POR,DF,Reims,27,1997,27,24,"1,970",21.9,0,1,1,0,0,0,5,0,0.3,0.3,0.8,1.1,28,83,64,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,Ligue 1,2024/25
91,Marcin Bułka,pl POL,GK,Nice,24,1999,34,34,"3,060",34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Ligue 1,2024/25
92,Rémy Cabella,fr FRA,"FW,MF",Lille,34,1990,23,12,"1,011",11.2,1,2,3,1,0,0,1,0,4.0,4.0,2.3,6.2,45,77,130,0.09,0.18,0.27,0.09,0.27,0.35,0.20,0.55,0.35,0.55,Matches,Ligue 1,2024/25
93,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27,1997,15,9,732,8.1,1,0,1,1,0,0,3,1,1.5,1.5,1.3,2.8,19,16,51,0.12,0.00,0.12,0.12,0.12,0.18,0.16,0.34,0.18,0.34,Matches,Ligue 1,2024/25
94,Duje Ćaleta-Car,hr CRO,DF,Lyon,27,1996,19,17,"1,584",17.6,1,0,1,1,0,0,8,0,2.1,2.1,0.1,2.2,4,46,0,0.06,0.00,0.06,0.06,0.06,0.12,0.01,0.13,0.12,0.13,Matches,Ligue 1,2024/25
