Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,2,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,laliga,2024/25
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,34,28,"2,585",28.7,0,1,1,0,0,0,3,0,1.2,1.2,1.9,3.1,59,114,133,0.00,0.03,0.03,0.00,0.03,0.04,0.07,0.11,0.04,0.11,Matches,laliga,2024/25
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,22,5,640,7.1,1,1,2,1,0,0,3,0,1.0,1.0,1.2,2.2,8,12,34,0.14,0.14,0.28,0.14,0.28,0.14,0.17,0.31,0.14,0.31,Matches,laliga,2024/25
130,Chema,es ESP,MF,Real Madrid,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,14,2,302,3.4,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.6,8,16,7,0.00,0.30,0.30,0.00,0.30,0.14,0.05,0.19,0.14,0.19,Matches,laliga,2024/25
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,8,1,146,1.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,4,1,12,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.21,0.19,0.21,Matches,laliga,2024/25
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,5,2,254,2.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,laliga,2024/25
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,"2,335",25.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,33,25,"2,140",23.8,4,1,5,4,0,0,12,0,1.8,1.7,1.1,2.8,19,128,12,0.17,0.04,0.21,0.17,0.21,0.08,0.05,0.12,0.07,0.12,Matches,laliga,2024/25
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,34,31,"2,435",27.1,3,1,4,3,0,0,3,1,3.0,3.0,1.0,4.0,26,110,42,0.11,0.04,0.15,0.11,0.15,0.11,0.04,0.15,0.11,0.15,Matches,laliga,2024/25
137,Silvi Clúa,es ESP,MF,Girona,19,2005,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,laliga,2024/25
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,25,21,"1,779",19.8,0,0,0,0,0,0,6,0,0.9,0.9,0.0,0.9,9,48,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,laliga,2024/25
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,35,30,"2,560",28.4,4,2,6,4,0,0,7,0,4.6,4.6,2.0,6.6,39,154,58,0.14,0.07,0.21,0.14,0.21,0.16,0.07,0.23,0.16,0.23,Matches,laliga,2024/25
140,Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,"1,962",21.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01,Matches,laliga,2024/25
